artist,year,words,syllables,sentiment,ttr
Beyonce,2008,1671,447,3.2,0.355614973
Beyonce,2008,2326,647,-0.6,0.216363636
Beyonce,2008,2427,734,1.4,0.25483304
Beyonce,2008,2052,507,6.9,0.279620853
Beyonce,2008,2721,727,8.4,0.278911565
Beyonce,2008,1739,471,5.35,0.308290155
Beyonce,2008,1979,506,8.55,0.306843267
Beyonce,2008,1600,409,-5.75,0.28
Beyonce,2008,1543,401,5.3,0.315186246
Beyonce,2009,3163,863,8.4,0.244541485
Beyonce,2009,2543,630,-2.95,0.26848249
Beyonce,2009,865,217,3.55,0.588235294
Beyonce,2011,1123,287,0.1,0.343396226
Beyonce,2011,1205,315,-1.95,0.28125
Beyonce,2011,987,262,1.35,0.297674419
Beyonce,2011,2250,570,1.55,0.229979466
Beyonce,2011,2158,539,-0.45,0.424036281
Beyonce,2011,1272,318,-0.5,0.338289963
Beyonce,2011,1306,316,-3.65,0.366037736
Beyonce,2011,2510,654,4.4,0.189090909
Beyonce,2011,2802,698,2.05,0.261904762
Beyonce,2011,2013,517,6.15,0.235294118
Beyonce,2011,1375,350,0.3,0.258278146
Beyonce,2011,1904,454,3.2,0.373762376
Beyonce,2011,2303,613,6.75,0.215116279
Beyonce,2011,2244,570,6.35,0.296536797
Beyonce,2011,2484,611,0.1,0.334637965
Beyonce,2011,3515,922,7.8,0.238926174
Beyonce,2013,2310,565,-0.85,0.35
Beyonce,2013,2660,671,1.25,0.271375465
Beyonce,2013,2678,661,-4.15,0.435606061
Beyonce,2013,1888,482,1.25,0.392405063
Beyonce,2013,1317,338,-1.55,0.388679245
Beyonce,2013,2782,710,-1.4,0.45045045
Beyonce,2013,1293,325,-0.25,0.540229885
Beyonce,2013,2968,748,6.3,0.342062193
Beyonce,2013,4054,987,-2.25,0.222877358
Beyonce,2013,1782,440,0.7,0.248554913
Beyonce,2013,2923,730,9.55,0.367941712
Beyonce,2013,1806,440,1.4,0.354107649
Beyonce,2013,681,175,2.05,0.611940299
Beyonce,2013,772,NA,1.35,0.467065868
Beyonce,2013,2654,657,-0.3,0.170774648
Beyonce,2013,2860,736,-2.95,0.432675045
Beyonce,2013,3871,972,-4.45,0.433673469
Bieber,2009,2123,529,-1.25,0.210191083
Bieber,2009,1996,537,7.8,0.286407767
Bieber,2009,1382,347,-1.55,0.341137124
Bieber,2009,2278,582,4.45,0.241970021
Bieber,2009,2871,713,2,0.231155779
Bieber,2009,2286,572,10.35,0.346320346
Bieber,2009,1840,468,3.15,0.219858156
Bieber,2009,1199,304,-2.4,0.468
Bieber,2009,3013,NA,-0.15,0.232744783
Bieber,2010,1954,517,1.7,0.335784314
Bieber,2010,1967,536,6.4,0.260340633
Bieber,2010,2014,519,-0.75,0.305687204
Bieber,2010,1103,275,1.1,0.414225941
Bieber,2010,1446,375,0.35,0.326984127
Bieber,2010,1806,461,5.6,0.340050378
Bieber,2010,1586,415,3.85,0.317919075
Bieber,2010,1499,388,5.1,0.26911315
Bieber,2010,1861,441,-0.5,0.276649746
Bieber,2010,2640,662,1.1,0.261261261
Bieber,2010,886,215,1.7,0.344660194
Bieber,2011,2501,664,1.5,0.291353383
