County,LandArea,NatAmenity,College1970,College1980,College1990,College2000
Aut,599,4 pts,0.064,0.121,0.145,0.18
Bal,1578,4 pts,0.65,0.121,0.168,0.231
Bar,891,4 pts,0.073,0.092,0.118,0.109
Bibb,625,3 pts,0.042,0.049,0.047,0.071
Blt,639,4 pts,0.027,0.053,0.07,0.096
