Month,Syracuse,Denver,Atlanta
January,32,46,53
February,34,44,59
March,43,56,66
April,57,62,75
May,72,68,82
June,77,85,88
July,84,89,90
August,81,88,89
September,75,82,86
October,62,66,76
November,48,55,64
December,38,45,58
