Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,BrewMethod
Summer Vacation IPA,American IPA,18.93,1.071,1.018,7,0,10.42,18.93,60,75,All Grain
Hop on Board,American IPA,18.93,1.066,1.016,6.62,113.63,6.83,28.39,90,70,All Grain
The Pretender Dub-Hop IIPA,American IPA,8.33,1.091,1.018,9.55,0,8.42,9.16,60,63,All Grain
Something New,American IPA,41.64,1.061,1.01,6.59,61.08,6.33,49.21,60,76,All Grain
Citra Bomb,American IPA,20,1.058,1.016,5.48,76.72,7.66,28,60,66,All Grain
Galaxy Far Far Away,American IPA,20.82,1.035,1.009,3.44,11.33,4.19,28.39,60,70,All Grain
Guam Grapefruit IPA,American IPA,18.93,1.061,1.012,6.44,151.76,5.53,24.61,60,70,Partial Mash
STONE CLONE,American IPA,18.93,1.073,1.017,7.32,125.01,5.03,15.14,60,90,Partial Mash
Slap Together Red IPA,American IPA,21,1.056,1.012,5.84,50.17,8.9,28.5,60,78,All Grain
PaleBrew,American IPA,3.79,1.06,1.013,6.17,187.8,4.19,4.73,60,65,All Grain
Summer Ale,American IPA,20.82,1.061,1.014,6.44,15.02,5.41,18.93,60,35,extract
Zombie dust,American IPA,22.71,1.085,1.025,7.86,50.13,8.78,32.18,90,88,BIAB
Mad Dog 2-Hearted Clone,American IPA,20.82,1.061,1.017,5.79,56.56,5.25,25.55,60,70,All Grain
Low Cara IPA 4th Edition,American IPA,52,1.06,1.012,6.29,76.71,7.96,58,60,78,All Grain
McRoberts Anchor IPA Attempt,American IPA,22.71,1.058,1.011,6.16,66.8,14.83,30.28,90,75,All Grain
Punk IPA clone Trovit edition,American IPA,30,1.059,1.012,6.24,43.64,6.4,40,60,70,All Grain
Mitaka Double IPA,American IPA,1000,1.043,1.011,4.24,64.15,8.82,750,90,70,All Grain
Ruination Tribute,American IPA,18.93,1.07,1.01,7.8,157.44,6.35,18.93,60,25,extract
Citra IPA,American IPA,20.82,1.06,1.014,6.12,45.31,5.51,24.61,60,70,All Grain
IPA No. 2,American IPA,41.64,1.069,1.016,6.96,81.21,8.75,51.82,60,75,All Grain
Azacca/Ekuanot IPA,American IPA,9.46,1.071,1.015,7.3,59.7,5.78,13.25,60,80,BIAB
Kevin's Citra Galaxy MT Hood IPA,American IPA,45.42,1.059,1.013,5.96,99.57,5.66,53,60,80,BIAB
Celebration Ale Clone,American IPA,19.87,1.068,1.017,6.65,67.22,12.47,15.14,60,35,extract
BobCat Grapefruit IPA,American IPA,20.82,1.069,1.013,7.31,47.33,6.63,26.5,90,75,BIAB
Stupid IPA,American IPA,18.93,1.065,1.018,6.14,67.65,7.4,28.39,60,70,All Grain
Bodhi IIPA Clone,American IPA,21.77,1.081,1.019,8.09,113.55,4.91,26.5,60,68,All Grain
Freezing Runway Model (NEIPA),American IPA,9.46,1.063,1.017,6.03,38.38,6.69,14.2,60,65,BIAB
Agey the all grain alligator,American IPA,18.93,1.062,1.016,6.01,64.86,11.92,22.71,60,50,All Grain
JAMMin SMASH - Vienna/Mosaic FULL,American IPA,20.82,1.064,1.012,6.78,70.8,7.33,24.61,60,72,BIAB
Yakima,American IPA,23,1.061,1.012,6.45,67.81,4.92,25,60,69,All Grain
Onyx I.P.A.,American IPA,18.93,1.073,1.016,7.41,114.09,37.76,28.39,60,65,All Grain
2-Row Vienna IPA,American IPA,20.82,1.066,1.011,7.2,75.58,4.73,28.39,60,70,BIAB
Citra down and drink!,American IPA,23,1.057,1.01,6.18,62.77,7.44,28.5,60,70,All Grain
Blazing World,American IPA,20.82,1.07,1.013,7.35,90.29,12.39,26.5,60,65,All Grain
