Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,BrewMethod
Zombie Dust Clone - EXTRACT,American IPA,18.93,1.063,1.018,5.91,59.25,8.98,22.71,60,70,extract
Zombie Dust Clone - ALL GRAIN,American IPA,22.71,1.061,1.017,5.8,54.48,8.5,26.5,60,70,All Grain
Bakke Brygg HveteIPA 25 L,American IPA,25,1.064,1.014,6.63,64.26,7.78,29,90,74,All Grain
Hop Notch Clone,American IPA,15.14,1.066,1.015,6.62,111,14.26,11.36,90,70,BIAB
Racer 5 IPA Clone,American IPA,20.82,1.073,1.019,7.07,69.72,6.28,28.39,60,70,All Grain
Sam Adams Rebel IPA Clone,American IPA,18.93,1.066,1.017,6.51,60.96,10.54,11.36,60,30,extract
White IPA,American IPA,37.85,1.064,1.017,6.2,64.67,3.91,34.07,60,70,All Grain
Bells two hearted clone,American IPA,20.82,1.073,1.018,7.14,61.83,8.1,24.61,60,75,All Grain
Avg. Perfect Northeast IPA (NEIPA),American IPA,21.77,1.062,1.013,6.5,53.3,5.2,28.39,60,70,All Grain
IPA - Tired Hands Milkshake,American IPA,24.61,1.058,1.017,5.34,57.84,3.98,28.39,60,83,BIAB
Grapefruit IPA,American IPA,26.5,1.052,1.012,5.31,60.58,5.82,32.18,60,70,All Grain
Mosaic IPA,American IPA,18.93,1.074,1.018,7.24,0,7.68,22.71,60,75,All Grain
New England IPA,American IPA,19.87,1.071,1.018,6.93,68.91,6.82,28.39,60,72,All Grain
Tree House Julius Clone,American IPA,20.82,1.065,1.018,6.26,89.61,6.93,28.39,60,70,All Grain
Simple Citra IPA - One Gallon,American IPA,3.79,1.058,1.011,6.1,37.06,11.45,5.68,60,55,All Grain
Blood Orange IPA Clone,American IPA,19.87,1.064,1.015,6.47,56.62,8.23,29.34,60,70,All Grain
Bert's Boneyard RPM IPA Clone,American IPA,18.93,1.068,1.016,6.76,0,6.81,18.93,60,75,Partial Mash
New England IPA,American IPA,21.77,1.066,1.018,6.31,92.1,4.82,26.5,60,75,All Grain
West coast ipa,American IPA,18.93,1.062,1.016,6.13,66,6.97,22.71,60,51,Partial Mash
Milkshake Style IPA Clone,American IPA,22.71,1.078,1.025,7.05,60.66,7.06,26.5,60,70,BIAB
Hazy Juicy IPA,American IPA,22.71,1.062,1.012,6.51,121.43,4.26,26.5,60,70,All Grain
Syntax Error IPA II,American IPA,42,1.068,1.013,7.2,105.67,7.77,52,60,68,All Grain
Fat Head's Headhunter IPA Clone,American IPA,41.64,1.072,1.014,7.52,87.48,7.3,49.21,90,65,All Grain
Green Flash West Coast IPA Clone,American IPA,22.71,1.072,1.016,7.27,0,9.3,28.39,60,65,All Grain
NEIPA,American IPA,24.61,1.058,1.015,5.73,42.52,5.6,28.39,60,65,All Grain
Elvis juice v2.0,American IPA,20,1.059,1.01,6.45,32.49,6.76,25,60,70,All Grain
Juana Peña - Columbus - Mosaic IPA,American IPA,22.71,1.058,1.009,6.42,39.52,3.69,27.44,60,78,All Grain
Fresh Squeezed Clone,American IPA,20.82,1.066,1.018,6.24,68.07,11.58,26.5,60,77,All Grain
Bakke Brygg American IPA 40 l,American IPA,40,1.065,1.012,6.88,65.04,6.75,50,60,70,All Grain
Dogfish Head Brewery - Dogfish Head 60 Minut...,American IPA,20.82,1.064,1.018,6.03,70.74,9.01,13.25,60,70,Partial Mash
Sierra Nevada Pale Ale Clone,American IPA,18.93,1.056,1.013,5.57,43.02,10.33,11.36,60,75,extract
Treehouse Julius,American IPA,20.82,1.066,1.015,6.7,76.06,7.32,27.94,60,72,All Grain
Lagunitas Brewing Co.- Lagunitas IPA Clone...,American IPA,20.82,1.059,1.015,5.82,73.67,7.22,13.25,60,70,Partial Mash
Grapefruit Honey Ale,American IPA,3.79,1.057,1.016,5.38,46.29,7.1,4.73,60,70,All Grain
Oatmeal IPA,American IPA,19.87,1.061,1.008,6.92,48.4,10.53,28.39,90,60,All Grain
Cascadian Dark Ale (Black IPA),American IPA,45.42,1.067,1.017,6.64,113.49,31.85,64.35,90,70,All Grain
Rebel IPA,American IPA,20.82,1.061,1.011,6.58,37.83,9.38,28.39,60,75,All Grain
Bell's Two Hearted Ale Clone,American IPA,20.82,1.067,1.014,7,50.85,5.6,28.39,60,75,All Grain
3 FLoyds Zombie Dust,American IPA,45.42,1.065,1.015,6.6,35.44,8.47,56.78,90,75,All Grain
Sip of Sunshine Clone,American IPA,45.42,1.072,1.014,7.69,100.06,6.65,51.1,60,75,All Grain
NE IPA,American IPA,19.87,1.058,1.017,5.42,43.43,4.3,24.61,60,70,All Grain
Todd the Axe Man (Surly),American IPA,22.71,1.074,1.018,7.34,56.49,6.21,26.5,60,75,All Grain
Sleeper Street | Trillium Brewing  (approxim...,American IPA,21,1.067,1.014,6.91,73.25,4.96,25,60,73,BIAB
West Coast CITRA IPA,American IPA,45.42,1.068,1.012,7.38,122.86,6.55,64.35,90,70,All Grain
Plinian Legacy Double IPA,American IPA,22.71,1.076,1.018,7.64,67.76,5.85,30.28,90,75,All Grain
Focal Banger Clone,American IPA,20.82,1.066,1.013,6.98,125.78,6.75,26.5,90,66,All Grain
NixonBrew - Red Ipa - Flipside Clone,American IPA,18.93,1.071,1.013,7.54,79.63,14.8,26.5,60,75,All Grain
Session IPA,American IPA,19.68,1.045,1.011,4.48,61.29,8.31,11.36,60,70,extract
Dogfish Head 90 Minute Clone,American IPA,22.71,1.079,1.018,7.98,0,7.34,30.28,90,75,All Grain
Summer Citrus IPA,American IPA,19,1.064,1.016,6.32,0,6.84,23,60,64,All Grain
Strawberry Milkshake IPA,American IPA,20.82,1.078,1.025,6.92,82.1,6.31,27.44,60,80,All Grain
Tonybaga Red (Cigar City Tocobaga Red Clone)...,American IPA,41.64,1.075,1.021,7.11,80.04,18.21,53,60,63,All Grain
Lagunitas IPA Clone,American IPA,22.71,1.061,1.021,5.36,44.14,8.48,28.47,60,70,All Grain
Total Domination IPA Clone V2 (not there yet...,American IPA,20.82,1.067,1.021,6.07,109.29,8.3,26.5,90,70,All Grain
Alpine Nelson Clone BIAB,American IPA,20.82,1.073,1.018,7.13,104.69,5.24,27.82,60,70,BIAB
Heady Topper Clone,American IPA,20.82,1.075,1.019,7.29,0,6.38,27.44,60,70,All Grain
Ægir IPA Clone,American IPA,21,1.071,1.02,6.78,55.04,11.75,28.5,60,75,All Grain
Tangelo Lemongrass IPA,American IPA,20.82,1.062,1.015,6.26,69.81,6.5,26.5,60,75,All Grain
All Day IPA Clone,American IPA,20.82,1.042,1.008,4.38,38.58,6.41,28.39,60,75,BIAB
Extract White IPA,American IPA,19.87,1.069,1.015,7.05,90.86,5.87,11.36,60,35,extract
Double IPA,American IPA,20.82,1.066,1.016,6.47,67.99,14.87,11.36,60,70,Partial Mash
IPA Experiment 2 - Munich Malt,American IPA,18.93,1.058,1.016,5.47,70.94,10.86,20.82,60,70,All Grain
Northern Brewer's Dead Ringer IPA,American IPA,18.93,1.072,1.018,7.07,0,11.24,9.46,60,75,Partial Mash
Citradelic IPA Clone (New Belgium),American IPA,20.82,1.063,1.013,6.49,86.33,9.49,27.25,60,75,All Grain
Hop the Planet!,American IPA,18.93,1.062,1.011,6.71,66.17,7.47,28.39,90,70,All Grain
Zombie Dust Clone,American IPA,40,1.055,1.011,5.84,67.22,6.06,50,60,72,All Grain
JAM! (10G),American IPA,41.64,1.063,1.01,7.08,49.78,9.01,47.32,60,72,All Grain
Lucky's Red & Snarly,American IPA,20.82,1.061,1.019,5.56,86,10.98,11.36,60,65,extract
HopDevil IPA Clone,American IPA,18.93,1.063,1.016,6.2,78.19,10.59,18.93,60,70,extract
New Belgium's Citradelic Clone,American IPA,18.93,1.058,1.017,5.42,58.91,10.13,20.82,60,63,All Grain
Westbrook IPA clone,American IPA,18.93,1.07,1.018,6.79,82.14,6.28,13.25,60,75,Partial Mash
112 Klona öl  stigbergets west coast IPA si...,American IPA,25,1.058,1.014,5.79,38.55,5.93,28,60,77,All Grain
Dogfish Head 60 Minute IPA,American IPA,18.93,1.069,1.021,6.34,47.78,5.5,28.39,60,70,All Grain
Hopstand IPA (v3): Citra Amarillo,American IPA,19.68,1.059,1.014,5.88,58.23,5.2,28.39,60,70,All Grain
Punk IPA clone test 1,American IPA,23,1.063,1.016,6.18,68.93,6.65,32.5,60,70,All Grain
Dead Ringer IPA - Northern Brewer,American IPA,18.93,1.066,1.018,6.34,65.01,8.19,24.61,60,75,All Grain
American IPA,American IPA,11,1.056,1.012,5.69,45.04,6.79,16,60,60,All Grain
NE IPA: Citra/Mosaic/Galaxy,American IPA,16.09,1.07,1.018,6.79,111.94,4.45,23.66,90,75,BIAB
Black Sand Cascadian Ale,American IPA,20.82,1.072,1.019,6.95,116.08,40.69,26.5,60,75,All Grain
Pineapple IPA,American IPA,20.82,1.062,1.017,5.88,66.87,7.04,28.39,60,65,All Grain
New belgium slow ride,American IPA,20.82,1.046,1.01,4.61,50.2,7.79,28.39,60,70,All Grain
Sip of Sunshine Clone,American IPA,22.71,1.079,1.015,8.46,111.52,8.26,26.5,60,72,All Grain
Winter ipa,American IPA,9.46,1.062,1.016,6.12,65.39,10.12,12.3,60,85,All Grain
Kupe's hop AG,American IPA,20,1.06,1.017,5.64,70.69,14.09,30,60,65,BIAB
COOP F5 Clone,American IPA,18.93,1.069,1.019,6.52,60.18,11.59,26.12,60,65,All Grain
#0014 Tropicalia Clone,American IPA,18.93,1.066,1.017,6.43,80.23,7.72,30.28,60,60.8,BIAB
Electric IPA,American IPA,45.42,1.063,1.014,6.55,68.03,6.73,53,60,90,All Grain
BIAB IPA,American IPA,20.82,1.06,1.016,5.84,77.85,6.41,22.71,60,60,BIAB
Sam Adams Latitude 48 IPA Clone,American IPA,20.82,1.06,1.015,5.88,59.37,9.74,25.74,60,69,All Grain
Deschutes Red Chair NWPA clone home brew rec...,American IPA,19.87,1.057,1.015,5.54,82.53,8.12,26.5,60,75,All Grain
NixonBrew - This Stuff Will Make You a G** D...,American IPA,18.93,1.07,1.013,7.44,66.16,6.56,26.5,60,70,All Grain
Rebel Grapefruit IPA Clone,American IPA,20.82,1.064,1.014,6.56,55.41,8.02,24.61,60,65,All Grain
Speidel #1 IPA,American IPA,20,1.066,1.016,6.46,70.37,8.25,28.5,60,80,All Grain
Meaghan's IPA,American IPA,24.61,1.066,1.02,6.1,48.95,6.44,32.18,90,75,All Grain
"10 gallon All Grain ""Scrap Iron"" IPA",American IPA,20.82,1.054,1.013,5.28,74.67,13.29,28.39,60,70,All Grain
Omnipollo Fatamorgana Clone,American IPA,9.46,1.082,1.02,8.05,56.58,5.58,11.36,60,48,All Grain
Double IPA,American IPA,24.61,1.091,1.015,10.01,129.85,7.89,26.5,90,75,All Grain
Firestone union jack clone,American IPA,18.93,1.066,1.015,6.73,110.6,7.04,22.71,60,75,All Grain
EPA,American IPA,25,1.06,1.016,5.69,49.28,16.65,24,60,75,BIAB
Stone Brewing Co. - Stone IPA Clone,American IPA,20.82,1.071,1.017,7.09,101.27,6.1,13.25,60,70,Partial Mash
Black Ipa,American IPA,20.82,1.006,1.002,0.62,106.6,40,26.5,90,70,All Grain
Deschutes' Fresh Squeezed IPA Clone,American IPA,20.82,1.058,1.01,6.34,65.38,10.38,28.39,60,72,All Grain
Sweetwater IPA Clone,American IPA,20.82,1.066,1.016,6.47,61.32,8.65,28.39,60,75,All Grain
Sick ipa,American IPA,18.93,1.109,1.026,10.96,767.47,40,26.5,90,75,All Grain
Sierra Nevada Tropical IPA,American IPA,3.79,1.061,1.01,6.63,50.28,6.61,7.57,60,70,All Grain
Trillium Headroom Clone,American IPA,20.82,1.081,1.02,8.08,172.09,5.19,28.39,60,70,All Grain
Bakke Brygg American IPA 20 L,American IPA,20,1.065,1.013,6.85,71.86,6.89,24,90,74,All Grain
Apricot IPA,American IPA,19.68,1.065,1.019,6.03,70.66,7.98,27.25,60,75,All Grain
Pineapple sAgePA,American IPA,904.71,1.056,1.01,5.95,0.62,6.08,1059.92,60,70,All Grain
Trillium Fort Point Pale Ale,American IPA,20.82,1.062,1.012,6.53,38.5,4.24,24.61,60,35,extract
A For Effort IPA,American IPA,18.93,1.073,1.013,7.9,71.14,8.19,26.5,60,65,All Grain
Focal Banger | The Alchemist (Approximation)...,American IPA,21,1.065,1.012,7.03,64.6,5.45,25,60,70,BIAB
Vermont IPA V2,American IPA,47.32,1.051,1.014,4.86,62.03,3.77,51.86,90,67,All Grain
Lagunitas Maximus IPA clone,American IPA,20,1.067,1.016,6.72,46.09,12.75,28.5,90,66,BIAB
Galaxy SMaSH,American IPA,18.93,1.061,1.02,5.41,77.93,5.44,28.39,60,75,All Grain
West Coast IPA - Mosaic,American IPA,18.93,1.067,1.014,6.94,99.37,6.86,11.36,60,45,Partial Mash
Little Sumpin Sumpin Clone,American IPA,18.93,1.079,1.027,6.92,66.7,7.03,22.71,60,77,All Grain
Simcoe IPA,American IPA,20.82,1.071,1.018,7.03,90.04,9.07,11.36,60,35,extract
#2 - IPA 60,American IPA,18,1.068,1.019,6.46,55.92,4.65,8,60,70,extract
AleSmith IPA Clone - 20L,American IPA,20,1.084,1.019,8.57,42.29,11.22,23.3,60,80,All Grain
Heady Topper Clone,American IPA,22.71,1.072,1.013,7.76,140.13,5.47,32.18,90,80,All Grain
The Tropical Session White IPA,American IPA,20,1.049,1.013,4.75,87.11,3.74,28.5,90,75,All Grain
Sierra nevada pale ale clone,American IPA,18.2,1.061,1.015,5.96,54.07,10.44,25,60,80,BIAB
Mosaic Promise Clone Rev. 1,American IPA,20.82,1.057,1.013,5.65,40.78,4.78,24.61,60,84,BIAB
Citra IPA - Partial Mash,American IPA,20.82,1.074,1.018,7.43,0,11.7,28.2,60,68,Partial Mash
Kama Citra Session IPA,American IPA,20.82,1.05,1.01,5.31,43.53,7.35,25.55,60,75,All Grain
Ginger! [IPA],American IPA,18.93,1.061,1.015,5.97,0,11.89,25.21,60,75,All Grain
Blue ribbon IPA.,American IPA,22.71,1.066,1.014,6.86,57.84,11.19,28.39,60,80,All Grain
A LIL' SLACK IPA,American IPA,18.9,1.061,1.012,6.46,60.55,7.43,29,60,80,BIAB
Citra IPA,American IPA,18.93,1.074,1.017,7.47,46.42,6.34,18.93,60,35,extract
NEIPA Juice Bomb,American IPA,18.93,1.088,1.027,8.06,29,5.18,26.5,60,75,All Grain
Tangerine ipa,American IPA,20.82,1.062,1.016,6.14,58.26,10.25,11.36,60,35,extract
Punk ipa,American IPA,25,1.063,1.013,6.59,54.72,6.35,35,60,75,All Grain
Catch Her in the Rye - Rye IPA,American IPA,18.93,1.075,1.021,7.59,42.23,21.61,22.71,60,75,All Grain
Black IPA - NWA,American IPA,17.03,1.068,1.017,6.66,80.91,40,13.25,90,70,extract
IPA Experiment 1 - Rahr 2 Row,American IPA,18.93,1.058,1.016,5.47,54.16,7.07,18.93,60,70,All Grain
Coppertail Free Dive IPA (Clone),American IPA,41.64,1.063,1.018,5.99,65.83,4.06,49.21,60,73,All Grain
IPA - Red,American IPA,41.64,1.061,1.013,6.25,91.14,12.49,47.32,60,70,All Grain
Aussie Blond  IPA,American IPA,20.82,1.065,1.021,6.09,84.28,6.87,24.61,60,75,All Grain
Ballast Point Sculpin IPA Clone,American IPA,20,1.069,1.015,7.1,70.32,7.86,25,60,70,All Grain
Kama Citra,American IPA,18.93,1.071,1.017,7.09,54.03,8.02,9.46,60,35,extract
Skinny Cow IPA Rev 4,American IPA,681.37,1.063,1.012,6.73,146.09,6.06,687.05,60,75,All Grain
Stone Sublimely Self Righteous Black IPA Clo...,American IPA,22.71,1.077,1.018,7.74,44.17,34.62,28.39,90,70,All Grain
Sweet (Hop) Leaf IPA. Bring on the jalapeño...,American IPA,39.75,1.062,1.017,5.89,132.7,10.05,43.53,60,70,All Grain
Bitch Slap,American IPA,39.75,1.084,1.015,9.08,142.26,6.6,53,90,72,All Grain
Mac's - Founders Centennial IPA Clone,American IPA,11.36,1.068,1.012,7.39,73.72,14.85,15.14,60,67,BIAB
Hop Head Double IPA Kit,American IPA,18.93,1.072,1.017,7.26,74.79,15.87,11.36,60,70,extract
Quicksilver 2012 Winter IPA,American IPA,37.85,1.064,1.018,6.07,48.84,10.19,43.53,60,75,All Grain
Revolution Anti-Hero Clone,American IPA,30.28,1.07,1.018,6.82,51.27,8.96,36.91,60,70,All Grain
Summit Saga IPA,American IPA,22.71,1.077,1.017,7.81,164.83,11.44,30.28,90,70,All Grain
Zombie Dust Clone - Partial Mash,American IPA,15.14,1.062,1.017,5.83,49.3,8.98,20.82,60,65,extract
West Coast IPA 10,American IPA,41.64,1.079,1.015,8.36,60.12,7.41,51.1,60,75,All Grain
Bakke Brygg American IPA Tropisk (Mosaic  Ne...,American IPA,20,1.066,1.013,7,62.81,6.6,23,60,70,All Grain
Apple IPA,American IPA,18.93,1.05,1.009,5.37,0,11.04,22.71,60,65,All Grain
Jai Alai Clone,American IPA,11.36,1.075,1.017,7.59,70.71,8.1,12.3,60,25,extract
Lagunitas IPA Clone Braumeister 20l,American IPA,21,1.061,1.013,6.27,60.16,5.92,25,60,70,BIAB
Chinook IPA Northern Brewer,American IPA,18.93,1.05,1.01,5.36,57.7,3.02,11.36,60,35,extract
Jamil's Evil Twin,American IPA,41.64,1.065,1.018,6.12,60.95,19.56,53,90,70,All Grain
Mango IPA,American IPA,18.93,1.077,1.019,7.61,83.71,8.02,11.36,60,25,extract
RBW Founders All Day IPA Clone  10 Gal,American IPA,37.85,1.045,1.01,4.59,42.44,7.87,45.42,60,62,All Grain
Congress Street IPA clone,American IPA,20.82,1.069,1.017,6.82,85.64,5.75,24.61,60,68,BIAB
Punk IPA clone - Braumeister 20l,American IPA,21,1.059,1.012,6.08,54.52,6.5,25,60,75,BIAB
Lliam's Hop Burst IPA,American IPA,47.32,1.074,1.015,7.74,76.1,7.16,57.73,60,73,All Grain
Hopstand IPA (v1): Nelson Citra Simcoe,American IPA,19.68,1.057,1.013,5.68,72.94,3.91,27.25,60,75,All Grain
Elysian Space Dust IPA Clone - Rye,American IPA,41.64,1.063,1.019,5.82,66.87,5.65,49.21,60,95,All Grain
Red X IPA -V1,American IPA,41.64,1.076,1.018,7.59,108.43,15.95,47.32,60,80,All Grain
Brooklyn East India Pale Ale clone,American IPA,22,1.063,1.015,6.33,131.09,7.2,28.4,60,75,All Grain
Green Flash Brewing Co. - West Coast IPA Clo...,American IPA,20.82,1.074,1.017,7.43,147.61,7.39,13.25,60,70,Partial Mash
Lagunitas Hop Stoopid Clone,American IPA,22.71,1.069,1.017,6.84,182,5.34,30.28,90,80,All Grain
Pseudo Zombie,American IPA,20.82,1.061,1.015,6.14,53.55,9.16,26.5,60,66,All Grain
RUD Humle lett,American IPA,25,1.028,1.005,2.95,64.04,10.27,28.5,90,85,All Grain
Lemon Ale,American IPA,20.82,1.057,1.017,5.31,40,9.14,28.39,60,70,All Grain
Everyday IPA,American IPA,3.79,1.074,1.018,7.24,88.02,8.2,4.73,60,35,All Grain
One Pound of Simcoe Double IPA,American IPA,18.93,1.067,1.007,7.83,103.18,4.88,26.5,60,48,All Grain
Grapefruit IPA,American IPA,22.33,1.062,1.01,6.88,40.68,5.06,30.28,90,73,All Grain
American IPA,American IPA,21.77,1.066,1.011,7.17,76.09,7.05,32.18,60,63,All Grain
Danksta IPA,American IPA,28,1.052,1.01,5.45,58.51,8.96,50,60,64,All Grain
Coconut Belgian IPA,American IPA,20.82,1.059,1.011,6.34,68.54,5.93,28.39,60,75,All Grain
Chai Tea IPA,American IPA,20.82,1.095,1.025,9.24,123.43,8.54,11.36,60,35,extract
SMASH Citra IPA,American IPA,18.93,1.064,1.016,6.28,65.65,6.74,26.5,60,70,All Grain
Dead Ringer !PA,American IPA,20.82,1.064,1.016,6.31,57.58,7.67,28.39,60,80,BIAB
New England IPA,American IPA,18.93,1.059,1.012,6.17,122.06,5.31,22.71,60,35,extract
Mo Columbus sMash,American IPA,9.46,1.067,1.016,6.72,79.91,6.34,12.3,60,80,All Grain
Dark Chocolate IPA,American IPA,20.82,1.091,1.03,8.04,162.29,40,20.82,60,35,extract
Storm Hurricane IPA Clone,American IPA,18.93,1.07,1.022,6.34,83,6.21,22.71,60,75,extract
"NEIPA Citrus Bomb aka ""Orange Blossom Specia...",American IPA,20.82,1.065,1.011,6.98,66.1,8.76,28.39,60,78,BIAB
EBH Morning Sun IPA,American IPA,41.64,1.068,1.014,7.17,81.24,9.16,47.32,90,66,All Grain
Ace of Spades Black IPA,American IPA,20.82,1.061,1.015,6.02,82.27,32.21,11.36,60,35,extract
Punk IPA,American IPA,23,1.058,1.016,5.45,36.04,6.4,32,60,70,All Grain
Centennial IPA,American IPA,20.82,1.066,1.018,6.19,66.73,10.22,28.39,60,70,All Grain
Gahr Indian Pale Ale,American IPA,25,1.053,1.013,5.21,78.09,7.21,29,90,73,BIAB
'McRoberts the Pliny,American IPA,22.71,1.078,1.022,7.36,78.1,5.82,30.28,90,75,All Grain
BIAB Citra Rye IPA,American IPA,20.82,1.066,1.016,6.65,65.71,5.99,27.14,60,70,BIAB
Amarillo Singel Hop,American IPA,21,1.07,1.016,6.99,72.35,13.53,26.5,90,70,BIAB
Double hop IPA,American IPA,24,1.071,1.018,6.89,68.49,9.14,30,60,35,extract
Hopstand IPA (v5): Simcoe Amarillo,American IPA,20.82,1.063,1.015,6.32,102.91,4.6,28.39,60,70,All Grain
Pucker Face Citrus IPA,American IPA,20.8,1.061,1.014,6.11,60.25,9.69,28.4,60,70,All Grain
Without shoes -T. Snider brew V3,American IPA,11.36,1.069,1.017,6.78,58.05,9.16,11.36,60,70,extract
Hurricane IPA,American IPA,18.93,1.074,1.012,8.04,84.63,13.77,24.61,60,75,All Grain
American IPA with mango,American IPA,10.4,1.053,1.015,5,72.27,9.56,8,60,35,extract
East Coast IPA v2,American IPA,22.71,1.068,1.017,6.66,87.86,5.78,32.18,60,70,All Grain
Belma IPA,American IPA,20.82,1.074,1.016,7.59,101.68,10.32,13.25,90,70,Partial Mash
New Belgium Brewing Ranger Clone,American IPA,18.93,1.053,1.014,5.14,74.32,6.19,20.82,60,35,extract
Lagunitas IPA II 10gal,American IPA,41.64,1.071,1.019,6.92,70.47,9.41,49.21,90,70,All Grain
Front Porch Citra IPA,American IPA,20.82,1.06,1.016,5.87,52.33,10.74,26.5,60,70,All Grain
DB IPA (Double),American IPA,47.32,1.079,1.012,8.8,94.68,4.6,54.89,90,84,All Grain
Maine Lunch Clone,American IPA,20.82,1.059,1.013,6.04,99.92,7.25,25.55,60,60,All Grain
R.I.P. Ale,American IPA,20.82,1.068,1.019,6.42,46.58,8.42,26.5,60,70,All Grain
Millennium falcon,American IPA,21.58,1.064,1.012,6.88,81.6,9.06,28.39,60,75,All Grain
21st Amendment's Brew Free! Or Die IPA Clone...,American IPA,19.87,1.072,1.022,6.58,69,6.12,29.34,90,70,All Grain
1# 2017,American IPA,52,1.044,1.008,4.66,65.97,11.37,54,60,75,All Grain
Dale's Pale Ale rip,American IPA,18.93,1.067,1.019,6.34,66.13,11.96,11.36,60,70,Partial Mash
'Merican IPA,American IPA,30,1.061,1.01,6.67,66.4,10.46,38,90,58,All Grain
Centennial / Citra  IPA,American IPA,18.93,1.065,1.012,6.86,66.85,8.2,28.39,60,70,BIAB
Centennial Pale Ale,American IPA,18.93,1.062,1.015,6.08,64.83,8.19,22.71,60,70,All Grain
Total Domination IPA Clone (fail),American IPA,20.82,1.065,1.02,5.92,71.52,6.34,26.5,60,70,All Grain
Peach Milkshake IPA,American IPA,18.93,1.083,1.016,8.79,259.97,5.38,24.61,60,75,All Grain
Hopville Conversion,American IPA,18.93,1.065,1.018,6.18,63.95,11.33,11.36,60,35,extract
Bakke Brygg HveteIPA 50 l,American IPA,50,1.064,1.012,6.79,63.94,9.13,58,60,70,All Grain
Sierra Nevada Torpedo Clone,American IPA,20.82,1.062,1.014,6.18,57.72,6.68,28.39,60,80,All Grain
Cascade IPA,American IPA,20.82,1.07,1.017,7.01,83.67,9.77,28.39,60,70,All Grain
RUD Red IPA - low ABV,American IPA,25,1.028,1.005,2.94,57.21,15.8,28.5,90,85,All Grain
SchuBrew IPA,American IPA,20.82,1.06,1.017,5.65,68.41,7.22,28.39,60,70,All Grain
West Coast IPA,American IPA,18.93,1.062,1.016,6.12,0,7.44,18.93,60,75,extract
Standing Proud (Centennial) IPA,American IPA,20.82,1.064,1.015,6.39,74.45,6.59,13.25,60,70,Partial Mash
The Full Nelson (Nelson Sauvin DIPA),American IPA,41.64,1.098,1.02,10.32,105.05,7.73,49.21,60,65,All Grain
Hell is Chrome,American IPA,24.61,1.065,1.013,6.83,39.57,40,30.28,90,80,All Grain
NorCal Lagunitas IPA Clone DME,American IPA,18.93,1.061,1.015,5.96,117.5,5.36,22.71,60,75,Partial Mash
"Easter Bunny ""Hopped"" to the ""Summit"" in  ""C...",American IPA,39.75,1.057,1.016,5.34,250.52,8.03,43.53,60,70,All Grain
Clawhammer,American IPA,60.57,1.075,1.015,7.92,121.54,4.39,71.92,60,82,All Grain
Lagunitas Little Sumpin' Sumpin' Clone,American IPA,19.87,1.069,1.022,6.21,49.27,5.97,30.47,90,70,All Grain
Citra Sunshine IPA,American IPA,21.77,1.069,1.013,7.33,102.87,6.08,29.34,60,70,All Grain
Tonybaga Red-Mod 5 (Cigar City Tocabaga Red ...,American IPA,41.64,1.077,1.021,7.24,74.54,15.46,49.21,90,65,All Grain
West Coast IPA Clone,American IPA,20.82,1.071,1.017,7.07,108.45,8.38,28.39,90,70,All Grain
Green Flash West Coast IPA (Clone),American IPA,41.64,1.07,1.015,7.23,98.06,9.15,49.21,90,65,All Grain
Ramblin' Rose - SMaSH IPA,American IPA,20.82,1.065,1.011,6.98,62.87,3.52,28.39,90,78,All Grain
Bombastic Bigtastic IPA,American IPA,20.82,1.067,1.016,6.68,68.01,14.76,11.36,60,35,extract
Zombie Dust Clone,American IPA,18.93,1.061,1.017,5.77,84.16,9,9.46,60,35,extract
House IPA,American IPA,20.82,1.051,1.014,4.82,92.73,11.06,13.25,60,70,Partial Mash
Feral Karma Citra Black IPA,American IPA,23,1.073,1.012,7.98,63.89,31.06,26,60,75,BIAB
Pirate Life -Throwback,American IPA,25,1.039,1.01,3.85,33.22,5.1,30,60,70,All Grain
Red X IPA,American IPA,20.82,1.068,1.017,6.71,66.36,14.85,28.39,60,75,All Grain
Motueka IPA,American IPA,19.5,1.06,1.011,6.33,73.3,5.86,21.5,60,80,All Grain
Amarillo Angel IPA,American IPA,18.93,1.07,1.02,7.04,93.9,12.8,18.93,60,72,Partial Mash
HopHead  IPA,American IPA,20.82,1.066,1.016,6.47,106.22,14.87,13.25,60,70,extract
Rye Rye IPA,American IPA,18.93,1.067,1.017,6.54,0,9.46,21.08,60,75,All Grain
Harpoon IPA clone,American IPA,18.93,1.059,1.015,5.78,58.13,11.38,13.25,60,35,extract
Almost Hopslam IIPA,American IPA,20.82,1.083,1.012,9.21,197,6.9,28.39,60,80,BIAB
Grapefruit Sculpin-ish Clone - Maybe?,American IPA,22.71,1.065,1.015,6.52,74.68,7.59,24.61,60,35,extract
Prickly pear ipa,American IPA,22.71,1.056,1.003,7.04,38.14,14.49,30.28,60,54,All Grain
Mystic Mama Clone,American IPA,30.28,1.066,1.019,6.28,66.7,8.14,37.85,60,59,All Grain
SMaSH the Galaxy IPA,American IPA,20.82,1.066,1.016,6.59,69.38,4.24,24.61,60,70,BIAB
Simple Cascade IPA - One Gallon,American IPA,3.79,1.075,1.013,8.21,43.46,13.55,5.68,90,55,All Grain
Stone IPA Clone,American IPA,18.93,1.066,1.017,6.51,0,11.85,18.93,60,75,Partial Mash
Blindfold IPA Clone,American IPA,19.87,1.069,1.017,6.77,117.87,40,11.36,60,25,extract
