Phone,Year,Sex,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,Facebook,Twitter,Computer,SocialMedia,Class,Term
9834,1,F,68,125,No,right,2,1,45,6,3.75,4,No,No,6,7543,Nobel,8,No,72,NA,No,Mac,Instagram,3,Spring19
7669,2,M,74,185,No,right,3,1,15,12,2.62,14,No,Yes,15,4653,Academy,0,No,74,800,Yes,Mac,Instagram,3,Spring19
6635,1,F,65,120,No,right,1,2,16,5,3.64,10,No,Yes,5,5682,Nobel,2,No,82,300,No,Mac,Snapchat,3,Spring19
750,1,M,69,165,No,right,2,3,25,7,3.4,12,No,Yes,4,5892,Olympic,0,Yes,62,0,No,Mac,Instagram,7,Spring19
2143,1,F,67,120,No,right,1,1,25,3.5,3.94,4,No,No,4,8723,Olympic,2,No,96,533,Yes,PC,Snapchat,3,Spring19
7439,1,NA,65,128,No,right,1,2,20,4,3.06,6,No,No,8,4628,Olympic,3,Yes,74,669,No,Mac,Snapchat,3,Spring19
644,1,F,70,165,No,left,1,2,120,1,2.8,7,No,Yes,14,5496,Olympic,7,Yes,70,1253,Yes,PC,Snapchat,3,Spring19
9271,1,F,68,160,No,right,2,1,200,12,3.8,30,No,Yes,10,4,Olympic,4,No,80,1100,No,Mac,Instagram,3,Spring19
7199,1,F,56,121,Yes,right,0,1,50,22,2.5,7,No,No,7,2389,Academy,10,No,86,500,No,Mac,Instagram,3,Spring19
7842,2,M,70,135,Yes,right,2,2,3,42,2.2,12,No,Yes,10,1711,Academy,0,No,70,400,No,PC,Snapchat,3,Spring19
700,1,F,65,139,No,right,1,1,80,6,3.75,2,No,No,3,6785,Nobel,3,No,107,400,No,Mac,Snapchat,4,Spring19
NA,4,M,71,170,No,right,1,1,25,6.5,3.86,3,No,No,3,9801,Nobel,0,No,82,400,Yes,PC,Instagram,4,Spring19
6578,1,M,70,180,No,right,1,1,13,8,3.6,15,No,No,15,8786,Olympic,0,No,70,1000,Yes,Mac,Snapchat,4,Spring19
6854,2,M,71,155,No,right,2,1,35,2.4,3.3,3,No,No,4,4678,Nobel,0,No,70,1100,Yes,Mac,Instagram,4,Spring19
2397,2,M,70,NA,Yes,right,0,1,30,7,2.8,6,No,No,7,1000,Olympic,0,Yes,108,2000,Yes,Mac,Instagram,4,Spring19
3040,3,M,68,140,No,right,1,2,16,6,NA,10,Planning,No,21,3591,Olympic,0,No,46,0,No,Mac,Other,4,Spring19
2721,2,F,67,155,No,right,1,1,60,6,2.9,2,Planning,No,5,9699,Nobel,3,No,88,750,Yes,Mac,Instagram,4,Spring19
9864,1,M,69,150,Yes,right,3,2,15,6,2.5,5,Planning,No,21,1466,Olympic,0,No,96,450,Yes,Mac,Snapchat,4,Spring19
