NAME,8/24/2021,8/23/2021,8/19/2021,8/16/2021,8/12/2021,8/9/2021,8/5/2021,8/2/2021,7/29/2021,7/26/2021,7/22/2021,7/19/2021,7/15/2021,7/12/2021,7/8/2021,7/6/2021,7/1/2021,6/30/2021,6/29/2021,6/28/2021,6/25/2021,6/24/2021,6/23/2021,6/22/2021,6/21/2021,6/18/2021,6/17/2021,6/16/2021,6/15/2021,6/14/2021,6/11/2021,6/10/2021,6/9/2021,6/8/2021,6/7/2021,6/4/2021,6/3/2021,6/2/2021,6/1/2021,5/28/2021,5/27/2021,5/26/2021,5/25/2021,5/24/2021,5/21/2021,5/20/2021,5/19/2021,5/18/2021,5/17/2021,5/14/2021,5/13/2021,5/12/2021,5/11/2021,5/10/2021,5/7/2021,5/6/2021,5/5/2021,5/4/2021,5/3/2021,4/30/2021,4/29/2021,4/28/2021,4/27/2021,4/26/2021,4/23/2021,4/22/2021,4/21/2021,4/20/2021,4/19/2021,4/16/2021,4/15/2021,4/14/2021,4/13/2021,4/12/2021,4/9/2021,4/8/2021,4/7/2021,4/6/2021,4/5/2021,4/2/2021,4/1/2021,3/31/2021,3/30/2021,3/29/2021,3/26/2021,3/25/2021,3/24/2021,3/23/2021,3/22/2021,3/19/2021,3/18/2021,3/17/2021,3/16/2021,3/15/2021,3/12/2021,3/11/2021,3/10/2021,3/9/2021,3/8/2021,3/5/2021,3/4/2021,3/3/2021,3/2/2021,3/1/2021,2/26/2021,2/25/2021,2/24/2021,2/23/2021,2/22/2021,2/19/2021,2/18/2021,2/17/2021,2/16/2021,2/12/2021,2/11/2021,2/10/2021,2/9/2021,2/8/2021,2/5/2021,2/4/2021,2/3/2021,2/2/2021,2/1/2021,1/29/2021,1/28/2021,1/27/2021,1/26/2021,1/25/2021,1/22/2021,1/21/2021,1/20/2021,1/19/2021,1/15/2021,1/14/2021,1/13/2021,1/12/2021,1/11/2021,1/9/2021,1/8/2021,1/6/2021,1/5/2021,1/4/2021,12/31/2020,12/30/2020,12/29/2020,12/28/2020,12/23/2020,12/22/2020,12/21/2020,12/18/2020,12/17/2020,12/16/2020,12/15/2020,12/14/2020,12/11/2020,12/10/2020,12/9/2020,12/8/2020,12/7/2020,12/4/2020,12/3/2020,12/2/2020,11/30/2020,11/25/2020,11/24/2020,11/23/2020,11/20/2020,11/19/2020,11/18/2020,11/17/2020,11/16/2020,11/13/2020,11/12/2020,11/10/2020,11/9/2020,11/6/2020,11/5/2020,11/4/2020,11/3/2020,11/2/2020,10/30/2020,10/29/2020,10/28/2020,10/27/2020,10/26/2020,10/23/2020,10/22/2020,10/20/2020,10/19/2020,10/16/2020,10/15/2020,10/13/2020,10/12/2020,10/9/2020,10/8/2020,10/7/2020,10/6/2020,10/5/2020,10/2/2020,10/1/2020,9/30/2020,9/29/2020,9/28/2020,9/25/2020,9/24/2020,9/23/2020,9/22/2020,9/21/2020,9/18/2020,9/17/2020,9/16/2020,9/15/2020,9/14/2020,9/11/2020,9/10/2020,9/9/2020,9/8/2020,9/4/2020,9/3/2020,9/2/2020,9/1/2020,8/31/2020,8/27/2020,8/26/2020,8/24/2020,8/20/2020,8/19/2020,8/18/2020,8/17/2020,8/12/2020,8/11/2020,8/6/2020,8/5/2020,8/3/2020,7/31/2020
Brasher,8,7,3,4,3,3,1,,,,,,,,,,,,1,1,1,,,,,,,,1,1,1,1,1,3,3,4,5,5,5,5,4,2,2,3,6,6,6,4,6,7,7,9,8,7,6,4,3,3,6,7,9,9,8,8,9,11,10,7,7,9,11,7,7,7,6,4,3,3,3,3,2,2,1,,,2,3,3,3,3,3,3,2,2,1,1,2,2,5,3,3,3,5,5,4,4,3,4,5,8,6,6,6,8,9,11,12,13,14,12,19,27,26,24,23,25,27,31,21,21,20,19,16,10,10,9,7,3,3,3,3,3,3,3,3,3,2,1,1,5,5,5,5,6,4,4,4,4,4,5,6,4,4,2,2,2,4,4,4,3,2,3,3,3,3,2,1,1,3,3,2,1,2,2,2,3,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Stockholm,11,7,10,12,17,18,11,8,5,3,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,3,3,4,3,2,4,4,5,4,2,2,5,5,5,7,8,8,5,5,4,9,9,11,13,13,11,6,4,4,2,3,2,3,3,5,10,9,9,9,8,7,6,6,2,2,1,1,1,1,7,9,10,10,10,10,8,6,6,8,7,7,8,4,5,7,13,11,10,9,8,8,8,7,7,14,14,26,58,61,69,69,75,74,68,64,52,38,38,27,25,24,21,21,23,22,18,17,19,20,17,18,16,16,18,15,17,16,15,13,13,12,8,7,7,7,6,7,4,2,1,1,2,5,6,7,7,5,3,3,2,2,2,1,1,1,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Potsdam,23,18,21,30,21,9,4,10,13,14,7,,1,1,1,2,1,1,,,,,,,,,,1,2,2,2,2,2,1,1,1,1,1,1,3,4,4,3,2,2,2,1,1,1,1,1,3,4,5,6,10,9,10,12,11,12,13,12,15,10,11,13,11,7,22,38,49,48,63,67,61,59,57,46,40,35,27,23,20,15,11,8,5,3,10,10,11,11,12,15,17,18,19,38,46,56,55,91,92,80,75,84,94,143,191,160,154,140,107,98,109,86,73,81,78,83,129,130,135,120,151,184,200,225,215,203,193,155,143,118,103,93,68,61,55,50,54,57,40,39,40,37,35,35,35,31,27,33,31,27,24,23,23,21,23,25,21,18,21,20,19,21,19,8,4,4,5,5,3,3,3,4,2,2,1,2,3,4,3,5,4,4,3,3,5,6,7,7,3,4,3,3,4,1,1,1,1,1,2,3,3,3,3,4,4,2,1,1,1,1,1,,2,2,1,1,3,3,2,2,1,1,,,,,,,,
Canton,17,16,10,7,9,5,3,3,2,4,3,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,3,6,6,7,8,8,8,7,5,2,2,2,1,,,1,1,2,2,2,4,7,8,8,8,9,9,14,15,12,13,11,17,19,19,23,20,21,20,18,18,16,13,10,10,7,10,11,10,8,7,12,12,13,11,7,18,19,20,19,25,28,26,29,30,28,19,18,14,16,23,34,30,31,28,36,31,37,37,33,39,37,39,53,58,57,55,56,67,74,92,81,86,87,94,92,82,93,93,94,86,88,83,83,78,51,48,48,50,51,47,51,43,43,34,34,28,28,30,29,29,25,22,16,12,8,6,7,9,12,10,12,12,14,10,5,3,4,4,4,4,4,2,2,2,2,2,1,1,1,,,,,,,,1,1,2,3,3,3,2,2,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,3,2,3,3
De Kalb,5,3,2,1,1,1,1,,,,,,1,3,1,,1,1,1,2,3,2,2,2,1,1,1,1,1,1,,,,,,,,,1,5,5,5,4,4,3,4,4,4,4,4,1,,,,1,1,1,2,2,2,1,1,1,,,,,,,,,1,1,1,1,2,2,1,1,1,1,1,,,2,2,2,2,2,4,4,2,2,2,7,6,6,7,9,8,6,6,10,10,8,7,7,7,7,7,7,6,8,8,7,7,6,3,3,3,4,8,8,8,7,7,8,6,7,8,6,6,13,17,15,15,14,18,19,19,18,17,12,5,4,4,8,8,9,12,12,8,7,5,5,4,4,5,3,1,1,1,,6,7,7,2,3,2,2,3,3,3,3,3,4,4,4,3,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Peyster,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,2,2,1,1,,,,,1,1,1,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,5,5,6,5,5,5,8,6,5,4,2,2,2,3,4,4,5,8,10,10,10,9,7,7,7,6,6,3,3,3,2,4,3,3,1,1,2,1,1,3,3,4,6,6,5,5,2,1,,,1,1,1,1,1,1,,,,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macomb,,,2,2,1,,,,1,1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,3,7,6,5,5,4,4,4,3,1,,,,1,1,1,1,3,2,2,4,4,4,4,4,6,5,11,11,10,10,16,16,17,16,16,15,15,7,6,3,4,3,3,3,2,2,2,5,6,6,7,7,7,4,4,2,1,1,1,2,2,5,6,6,2,2,2,2,1,2,3,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gouverneur,5,5,8,7,4,1,,,1,2,4,2,3,3,,,1,2,2,3,3,3,2,3,2,2,1,1,1,2,1,1,1,1,1,,,,,3,4,3,4,4,6,7,7,7,7,7,5,9,9,8,5,6,6,5,8,5,5,6,6,5,8,8,9,9,9,8,6,4,2,3,,,,1,1,1,1,1,,1,2,3,3,4,4,10,11,12,11,18,27,28,31,33,49,52,58,57,94,90,90,86,77,70,75,59,49,46,51,60,57,63,53,42,45,41,47,64,69,58,53,54,130,126,139,133,127,123,100,84,80,70,70,120,118,114,104,104,102,97,94,96,62,56,51,28,24,21,14,12,7,7,7,4,6,9,9,6,6,11,11,16,16,16,18,18,19,5,8,4,4,6,7,6,6,3,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Rossie,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,1,1,1,1,2,2,2,3,2,3,5,4,3,3,3,4,3,3,2,2,2,2,2,3,3,3,3,6,5,5,5,3,3,3,5,4,4,5,5,5,6,6,5,5,6,7,6,7,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fowler,3,3,3,,,,1,,,,,,1,2,1,,,,,,,,,,,,1,2,2,2,3,3,3,1,,,,,,3,4,5,5,5,8,7,5,5,3,1,1,2,2,2,2,2,2,,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,5,5,4,4,3,5,5,1,1,1,1,1,,1,2,6,7,9,18,18,18,19,19,19,19,19,15,15,14,11,14,15,14,10,13,12,13,15,16,16,14,16,18,18,17,16,14,13,12,14,10,8,7,9,11,9,12,11,21,21,17,16,22,27,26,23,21,18,14,7,5,5,6,5,5,5,6,5,5,,,,2,4,4,4,4,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
