Generation,Date
iPhone 1,2007-06
iPhone 3G,2008-06
iPhone 3GS,2009-06
iPhone 4,2010-06
iPhone 4S,2011-10
iPhone 5,2012-09
iPhone 5CS,2013-09
iPhone 6,2014-09
iPhone 6S,2015-09
iPhone 7,2016-09
iPhone 8,2017-09
iPhone X,2017-11
iPhone XS,2018-09
iPhone 11,2019-09
