Phone,Year,Gender,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,SocialMedia_Facebook,SocialMedia_Twitter,Computer,SocialMedia_Favorite,Class
1101,3,F,64,120,Yes,both,2,3,40,14,3.3,3,No,No,6,2324,Nobel,14,Yes,74,250,No,Mac,TikTok,8
948,3,M,72,165,Yes,right,2,3,20,2,2.6,5,No,No,12,7865,Olympic,2,No,60,100,Yes,Mac,TikTok,8
6428,1,F,64,105,No,right,1,2,50,8,,6,No,No,6,2964,Nobel,3,No,76,130,No,Mac,Snapchat,8
5997,1,F,,120,No,right,2,3,,6,,,No,No,2,7340,Olympic,3,No,,200,No,Mac,Snapchat,8
566,2,F,68,130,No,right,0,1,,3.5,,7,Planning,No,,7632,Olympic,4,No,70,,No,Mac,Snapchat,8
1260,2,F,68,145,Yes,right,1,1,110,7,3.62,8,No,No,2,5723,Olympic,4,No,62,200,Yes,Mac,Snapchat,8
1977,2,M,73,150,No,right,3,3,20,3.5,3.58,5,No,No,30,280,Academy,0,No,64,0,Yes,Mac,TikTok,8
4718,2,F,69,175,Yes,right,1,1,64,6,3.1,15,Planning,Yes,8,7396,Olympic,6,Yes,68,0,No,Mac,Instagram,8
7,2,M,72,190,Yes,right,2,2,25,4,3.1,14,No,Yes,,6395,Olympic,,,62,,No,Mac,Snapchat,8
1183,2,M,72,200,No,right,1,2,45,4.5,,6,No,No,6,6560,Olympic,0,Yes,64,300,Yes,Mac,Snapchat,8
7888,2,F,64,130,No,right,2,1,215,24,3.7,10,No,No,2,1111,Nobel,2,No,58,600,No,Mac,TikTok,8
5433,2,M,,145,No,right,2,1,50,11,3.1,12,No,Yes,7,7535,Olympic,0,No,66,200,No,Mac,Snapchat,8
5335,2,M,73,160,No,left,2,2,,31,,,No,No,,7653,Olympic,0,No,82,120,Yes,PC,Twitter,8
9157,2,F,69,195,No,right,1,2,22,3.5,3.6,,No,No,16,1342,Nobel,0,No,82,127,Yes,Mac,Other,8
671,4,F,68,145,Yes,both,2,1,170,6,3.5,9,No,No,12,5408,Olympic,5,Yes,92,900,No,Mac,TikTok,8
7268,1,M,71,185,No,right,2,1,25,6,,8,Planning,Yes,4,1250,Nobel,0,No,,0,No,Mac,Snapchat,8
1654,1,M,,,,right,2,3,,2.5,,,,,,,,,,68,,,,,8
9227,1,F,61,100,No,right,1,2,20,6,,2,No,No,14,2219,Nobel,0,No,81,0,Yes,Other,TikTok,8
7234,1,F,62,130,No,right,2,3,18,11,,5,No,No,15,4634,Olympic,3,Yes,74,0,Yes,PC,Instagram,8
