Phone,Year,Gender,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,SocialMedia_Facebook,SocialMedia_Twitter,Computer,SocialMedia_Favorite,Class
8263,1,F,67,135,No,right,1,2,0,2.5,,10,No,Yes,5,2253,Olympic,4,No,70,100,Yes,PC,Snapchat,2
2189,1,M,72,240,No,right,3,1,22,7,,25,No,Yes,8,926,Olympic,0,No,62,0,Yes,Mac,Twitter,2
7369,2,M,71,160,No,both,2,1,12,0,2.75,14,No,Yes,8,2347,Olympic,0,No,71,0,Yes,Mac,Snapchat,2
2393,2,M,,162,No,right,0,1,15,0.25,3,5,No,No,30,8365,Nobel,0,No,70,15,No,PC,Instagram,2
8654,3,F,65,148,No,right,2,2,130,1,3.71,10,No,No,20,7290,Olympic,12,No,65,150,Yes,Mac,Snapchat,2
6112,1,M,78,255,No,right,2,3,25,7,,15,No,Yes,3,7149,Olympic,0,No,69,50,Yes,Mac,Instagram,2
4116,3,F,62,152,No,right,1,2,30,3.25,3.08,4,No,No,8,2879,Nobel,4,No,70,250,No,PC,TikTok,2
7330,2,F,65,186,No,right,3,3,0,8,2.98,3,No,No,4,6341,Olympic,2,No,80,45,Yes,PC,Instagram,2
852,1,M,72,152,Yes,right,0,1,15,18,,3,Planning,No,3,6942,Nobel,1,Yes,86,415,Yes,Mac,Instagram,2
7051,2,F,63,128,Yes,right,2,3,20,17,3.43,2,No,No,12,7875,Nobel,2,No,82,0,Yes,Mac,Other,2
628,2,F,61,115,No,right,1,1,0,10,3.3,6,No,No,7,2361,Nobel,8,Yes,95,30,Yes,Mac,TikTok,2
4033,1,M,70,200,No,right,2,1,65,6,,6,No,No,7,3782,Nobel,0,No,72,413,Yes,Mac,Twitter,3
7870,3,F,64,115,No,both,9,1,275,7.5,3.4,3,No,No,2,2025,Nobel,4,Yes,67,735,Yes,Mac,Snapchat,3
5656,2,F,67,195,No,right,1,1,140,4.5,3.3,15,No,Yes,20,1212,Academy,6,No,75,375,Yes,Mac,TikTok,3
8228,2,M,69,154,No,right,0,1,10,24,3.83,5,No,No,10,3835,Nobel,0,No,80,802,Yes,PC,Instagram,3
7893,2,M,65,140,No,right,2,3,20,6,3,5,No,No,10,8290,Nobel,0,No,100,0,No,Mac,Snapchat,3
339,2,F,64,145,No,right,1,2,75,4.5,3.1,3,No,No,2,4568,Academy,2,No,84,0,No,Mac,Snapchat,3
3936,2,M,72,187,No,right,2,1,18,6,3.3,18,No,Yes,10,2222,Olympic,0,No,102,0,Yes,Mac,Twitter,3
5873,1,M,69,175,Yes,right,1,2,0,7,,8,No,Yes,14,3443,Olympic,0,No,,0,Yes,Mac,Snapchat,3
1228,2,M,72,180,No,right,2,3,15,3,2.7,20,Planning,Yes,6,1356,Nobel,0,No,100,0,No,Mac,Snapchat,3
